nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0004621	Paul Schneider	\N	\N	director,producer	tt0112022,tt0098826,tt0069658,tt1070886
nm0004622	Alfred F. Woodley	1969	\N	actor,director,writer	tt0955353,tt12003038,tt3453064,tt0475394
nm0004623	Thomas Morris	1966	\N	actor,writer	tt3977848,tt0108052,tt0808151,tt0963178
nm0004624	Eddie Mui	\N	\N	actor,producer,writer	tt0469947,tt2533024,tt0493406,tt0187078
nm0004625	Daniel Gélin	1921	2002	actor,writer,director	tt0048413,tt0122412,tt0052130,tt0049470
nm0004626	Kareena Kapoor	1980	\N	actress,soundtrack,music_department	tt1093370,tt0488414,tt1562871,tt1187043
nm0004627	Michael Lange	1950	\N	director,producer,assistant_director	tt0098878,tt0976014,tt0106179,tt8741582
nm0004628	Sönke Hansen	\N	\N	camera_department,cinematographer,director	tt1371111,tt1951266,tt1951265,tt1186367
nm0004629	Don Dunn	\N	\N	producer,miscellaneous,production_manager	tt1615925,tt3846674,tt8324422,tt9134194
nm0004630	A. Kodandarami Reddy	1950	\N	director,writer,actor	tt0245980,tt0245731,tt0246144,tt0246313
nm0004631	Seeta Rama Anjaneyulu Chilakalapudi	1907	1963	actor,music_department	tt0262075,tt0246139,tt0255824,tt0155091
nm0004632	Andrea Powell	1965	\N	actress	tt1673434,tt8634332,tt1731141,tt4229954
nm0004633	Mark A. Lewis	\N	\N	camera_department,miscellaneous	tt0480242,tt0103772,tt0182789,tt0114852
nm0004634	Ann Kindberg	\N	\N	producer,production_manager,assistant_director	tt0972412,tt0465353,tt0086927,tt3315386
nm0004635	Catrine McGregor	\N	\N	casting_director,producer,writer	tt6135014,tt8847796,tt0097474,tt0171606
nm0004636	Glenn S. Gainor	\N	\N	production_manager,producer,actor	tt1632708,tt1135084,tt0822847,tt1198138
